Message_Type,HL7_Version,Segment_Alias,Field_Num,Component_Num,SubComponent_Num,Check_Exists,Check_Not_Exists,Check_Code_Set_Alias,Check_Character_Length,Check_Is_Numeric,Check_Expected_Value,Special_Existence_Check
ADT,,PID,2,4,,1,,263,,,,
ADT,,PID,2,5,,1,,4,,,,
ADT,,PID,3,4,,1,,263,,,,
ADT,,PID,3,5,,1,,4,,,,
ADT,,PID,5,7,,1,,213,,,,
ADT,,PID,8,,,1,,57,,,,
ADT,,PID,9,,,1,,213,,,,
ADT,,PID,10,,,1,,282,,,,
ADT,,PID,11,4,,1,,62,,,,
ADT,,PID,11,6,,1,,15,,,,
ADT,,PID,11,7,,1,,212,,,,
ADT,,PID,11,9,,1,,74,,,,
ADT,,PID,11,17,,1,,27340,,,,
ADT,,PID,12,,,1,,74,,,,
ADT,,PID,13,,,1,,43,,,,
ADT,,PID,14,,,1,,43,,,,
ADT,,PID,15,,,1,,36,,,,
ADT,,PID,16,,,1,,38,,,,
ADT,,PID,17,,,1,,49,,,,
ADT,,PID,18,4,,1,,263,,,,
ADT,,PID,18,5,,1,,319,,,,
ADT,,PID,22,,,1,,27,,,,
ADT,,PID,24,,,1,,335,,,,
ADT,,PID,26,,,1,,14650,,,,
ADT,,PID,27,,,1,,14651,,,,
ADT,,PID,28,,,1,,14652,,,,
ADT,,PID,30,,,1,,268,,,,
ADT,,PV1,2,,,1,,321,,,,
ADT,,PV1,3,1,,1,,220,,,,
ADT,,PV1,3,2,,1,,220,,,,
ADT,,PV1,3,3,,1,,220,,,,
ADT,,PV1,3,4,,1,,220,,,,
ADT,,PV1,3,6,,1,,220,,,,
ADT,,PV1,4,,,1,,3,,,,
ADT,,PV1,7,9,,1,,263,,,,
ADT,,PV1,7,13,,1,,333,,,,
ADT,,PV1,8,,,1,,333,,,,
ADT,,PV1,9,,,1,,333,,,,
ADT,,PV1,10,,,1,,34,,,,
ADT,,PV1,11,,,1,,220,,,,
ADT,,PV1,12,,,1,,366,,,,
ADT,,PV1,13,,,1,,47,,,,
ADT,,PV1,14,,,1,,2,,,,
ADT,,PV1,15,,,1,,5,,,,
ADT,,PV1,16,,,1,,67,,,,
ADT,,PV1,17,,,1,,333,,,,
ADT,,PV1,18,,,1,,71,,,,
ADT,,PV1,20,,,1,,354,,,,
ADT,,PV1,22,,,1,,16,,,,
ADT,,PV1,36,,,1,,19,,,,
ADT,,PV1,37,1,,1,,20,,,,
ADT,,PV1,38,,,1,,18,,,,
ADT,,PV1,39,,,1,,220,,,,
ADT,,PV1,52,,,1,,333,,,,
ADT,,PV2,13,,,1,,18889,,,,
ADT,,PD1,2,,,1,,14661,,,,
ADT,,PD1,4,9,,1,,331,,,,
ADT,,PD1,5,,,1,,287,,,,
ADT,,PD1,7,,,1,,14769,,,,
ADT,,OBX,13,,,1,,18089,,,,
ADT,,DG1,26,,,1,,4002009,,,,
ADT,,DRG,8,,,1,,89,,,,
ADT,,IN1,20,,,1,,14142,,,,
ADT,,IN1,21,,,1,,14157,,,,
ADT,,IN3,2,,,1,,14949,,,,
